CDPOINTDECONTROLE	CODEVALEURDONNECONTEXTE
03204000	P9-A
03205000	P9-A
03206000	P9
03206150	P9
03206350	P9
03207020	P9-A
03207220	P9-A
03207610	P9-A
03207750	P9-A
03208000	P9-A
03208450	P9-A
03208520	P9-A
03209485	P9-A
03209550	P9-A
03210050	P9
03210300	TP9
03211000	P9-A
03211950	P9
03212090	P9-A
03212150	P9-A
03213000	P9
03213480	P9-A
03214240	P9-A
03215000	P9-A
03215193	P9-A
03216000	P9-A
03216130	P9
03216160	P9
03216250	P9-A
03216310	P9-A
03217000	P9-A
03217400	P9-A
03218150	P9
03219000	P9-A
03219015	P9-A
03219030	P9-A
03219430	M9
03219550	P9
03219780	P9
03221500	M9-A
03221625	P9-A
03221695	P9-A
03221795	M9
03222000	M9-A
03222275	M9
03222345	P9-A
03222480	P9
03222780	TP9
03223200	P9
03223500	M9
03224400	P9
03224955	P9-A
03224990	P9-A
03225000	P9-A
03225015	P9-A
03225030	P9-A
03225180	P12-B
03226000	P9
03226300	P9
03226540	M9
03227010	M9
03227100	P9-A
03227296	TP9
03227770	P9-A
03228000	M9
03228360	P12-A
03228690	P12-B
03229000	P9
03229700	P9
03230000	P9
03230760	P9
03231000	M9
03231065	P9
03231260	P9
03231490	P9
03231740	P9
03232080	TP9
03232450	P9
03233740	TP12-A
03233795	TP12-A
03233860	P9
03233896	P9
03233980	TP9
03234215	TP9
03234275	M9
03234380	P12-A
03234620	P12-B
03234650	M9
03235250	M12-A
03235690	P12-A
03236395	G12
03236730	TP12-B
03237050	G12
03237800	G12
03240000	M12-A
03240100	P12-B
03241000	P12-A
03241330	P12-B
03241590	P12-B
03241957	M12-B
03242000	M12-A
03243000	P12-B
03243350	P12-A
03244000	P12-B
03244725	P12-A
03245100	P12-B
03245665	P12-A
03246000	P9
03246300	TP9
03246920	TP9
03247210	P12-B
03247275	TP9
03247985	M9
03248401	P12-B
03249000	P12-B
03249880	TP12-B
03250110	M12-A
03250430	P12-B
03250475	M12-B
03250797	TP12-B
03251190	M12-A
03252500	M12-A
03252755	P12-A
03253780	TP12-B
03254035	M9
03254370	M9
03254770	TP9
03254870	M9
03255180	P12-B
03255580	P12-B
03255650	P12-B
03255785	P12-A
03257130	P12-A
03257800	P9
03258000	P9
03258300	P9
03260000	P12-A
03261600	TP12-B
03262000	TP12-A
03264000	TP12-B
03264965	P12-B
03265600	P12-B
03265993	P12-B
03266975	M12-A
03267850	TP12-A
03269000	P12-A
03269438	TP12-B
03270000	P12-B
03270390	TP12-B
03271000	M12-B
03271415	P12-B
03271437	P12-B
03271965	P12-B
03272040	M12-A
03272685	M12-B
03273345	P12-A
03274000	P12-A
03274420	P12-A
03276786	P9
03276988	G9
03277367	M9
03277420	TP20
03277658	M9
03277728	M9
03571415	P12-B
